,Zona,termino,menciones
285,Cinco Esquinas,estofados,0
286,Cinco Esquinas,fajitas de carne,1
287,Cinco Esquinas,fajitas de pollo,0
288,Cinco Esquinas,fajitas mixtas,0
289,Cinco Esquinas,Fiesta de pollo,0
290,Cinco Esquinas,filet a la milanesa,0
291,Cinco Esquinas,filet de pescado,0
292,Cinco Esquinas,filet de pescado a la pimienta,0
293,Cinco Esquinas,filet de pescado a la vasca,0
294,Cinco Esquinas,filet de pescado en salsa a la diabla,0
295,Cinco Esquinas,filet de pescado en salsa blanca,0
296,Cinco Esquinas,filet de pescado en salsa criolla,0
297,Cinco Esquinas,filet de pescado en salsa de camarón,0
298,Cinco Esquinas,filet de pescado en salsa jalapeña,0
299,Cinco Esquinas,filet de pescado en salsa vasca,0
300,Cinco Esquinas,filet de pescado relleno de mariscos,0
301,Cinco Esquinas,filet de pollo gordon bleu,0
302,Cinco Esquinas,filet mignon,0
303,Cinco Esquinas,filete,3
304,Cinco Esquinas,filete al ajillo,0
305,Cinco Esquinas,Filete de pargo,0
306,Cinco Esquinas,Filete de pargo con salsa de camarón,0
307,Cinco Esquinas,FIlete de pescado frito,0
308,Cinco Esquinas,Flan de ayote sazón,0
309,Cinco Esquinas,Flan de coco,1
310,Cinco Esquinas,flauta de carne,0
311,Cinco Esquinas,flauta de pollo,0
312,Cinco Esquinas,flautas,0
313,Cinco Esquinas,focaccia,0
314,Cinco Esquinas,focacha,0
315,Cinco Esquinas,Fresco de arazá,0
316,Cinco Esquinas,Fresco de carambola con arroz,0
317,Cinco Esquinas,Fresco de cas,1
318,Cinco Esquinas,Fresco de cas con menta,0
319,Cinco Esquinas,fresco de frutas,0
320,Cinco Esquinas,Fresco de guapinol,0
321,Cinco Esquinas,Fresco de limón,0
322,Cinco Esquinas,Fresco de mango,0
323,Cinco Esquinas,Fresco de mango y arazá,0
324,Cinco Esquinas,Fresco de naranja agria con tapa de dulce,0
325,Cinco Esquinas,Fresco de piña,1
326,Cinco Esquinas,Fresco de sirope,0
327,Cinco Esquinas,Fresco de tamarindo,0
328,Cinco Esquinas,fried cake,0
329,Cinco Esquinas,Frijoles blancos con carne de cerdo,0
330,Cinco Esquinas,Frijoles blancos con pescado,0
331,Cinco Esquinas,frijoles con cerdo,0
332,Cinco Esquinas,frito,0
333,Cinco Esquinas,Frito de cerdo,0
334,Cinco Esquinas,fruta de pan,0
335,Cinco Esquinas,gallina achotada,0
336,Cinco Esquinas,Gallina casera,0
337,Cinco Esquinas,Gallina casera achiotada,0
338,Cinco Esquinas,Gallina casera enjarrada,0
339,Cinco Esquinas,Gallina casera rellena,0
340,Cinco Esquinas,Gallina criolla,0
341,Cinco Esquinas,Gallina enjarrada,0
342,Cinco Esquinas,Gallo pinto,0
343,Cinco Esquinas,gallos,0
344,Cinco Esquinas,Gallos de arracache,0
345,Cinco Esquinas,Gallos de carne,0
346,Cinco Esquinas,Gallos de carne ahumada. Receta criolla familiar,0
347,Cinco Esquinas,Gallos de chicasquil,0
348,Cinco Esquinas,Gallos de cubases,0
349,Cinco Esquinas,Gallos de frijoles,0
350,Cinco Esquinas,Garbanzos,0
351,Cinco Esquinas,Gaseosas,1
352,Cinco Esquinas,Gelatina de aguacate con crema de café,0
353,Cinco Esquinas,Gelatinitas de naranja,0
354,Cinco Esquinas,Ginebra,0
355,Cinco Esquinas,gorditas,0
356,Cinco Esquinas,Granizados,0
357,Cinco Esquinas,Guaro,0
358,Cinco Esquinas,Guineos en salsa de tomate,0
359,Cinco Esquinas,Guiso,0
360,Cinco Esquinas,Guiso de ossobuco,0
361,Cinco Esquinas,guiso de verdura,0
362,Cinco Esquinas,hamburguesas,2
363,Cinco Esquinas,helados de sorbetera,0
364,Cinco Esquinas,Hiel,0
365,Cinco Esquinas,hojas,0
366,Cinco Esquinas,Horchata,0
367,Cinco Esquinas,Horchata de fideos,0
368,Cinco Esquinas,Huevo con arroz,0
369,Cinco Esquinas,huevo duro,0
370,Cinco Esquinas,Huevos rancheros,0
371,Cinco Esquinas,hummus y pita,0
372,Cinco Esquinas,Jalea de naranja,0
